id,street,status,price,bedrooms,bathrooms,sq_ft,lat,lng
70,271 4th Vis,active,106878,4,3,3491,33.405236993271295,-112.16391828284604
71,491 Euclid Pl,sold,225123,5,3,2976,33.48976481559924,-111.95946729329809
72,733 Euclid Trl,pending,250526,5,2,1091,33.57402637778264,-112.32482670499935
73,313 6th Dv,sold,250005,5,3,2928,33.5597185460335,-112.17004368995846
74,453 California Trl,pending,157379,5,1,2723,33.363650361521564,-111.89667996274163
75,367 Wall Dv,sold,261112,3,2,3655,33.509940498425586,-111.99372779460816
76,412 Sutter Way,sold,282987,2,3,1233,33.423599730751704,-111.98982656120802
77,333 7th Ave,sold,240863,4,1,3461,33.57847653323979,-112.24205585809227
78,118 Pine Cir,pending,197138,3,3,3255,33.41228310818245,-112.29421198820391
79,352 Bush Vis,active,167658,5,2,2137,33.46009906370526,-112.08598174037968
80,627 Blake Wl,sold,298429,3,3,3901,33.50191198047481,-111.8733694007877
81,660 Indiana Pl,sold,140130,3,2,1377,33.569875464018466,-112.32475096257262
82,45 Bush Blvd,sold,134823,2,1,3320,33.44003189822472,-112.25077198852864
83,391 Euclid Dv,sold,226564,4,1,3354,33.567160784273945,-112.07358137143181
84,98 5th Vis,sold,171040,2,3,3742,33.4333184872494,-112.1149401007108
85,566 Walnut Ave,pending,157020,2,2,3145,33.568740034923174,-112.15817982971032
86,691 Bush Rd,active,281062,4,2,2839,33.3649009026873,-111.95300553086891
87,527 Geary Dv,pending,164593,5,3,3027,33.587363471170256,-111.91464117247921
88,91 1st Vis,pending,155682,5,3,1939,33.59118622842411,-111.89595317899719
89,477 3rd Ave,pending,165602,3,1,3879,33.4965055417836,-112.23566709730581
90,509 Euclid Rd,active,143501,2,3,2839,33.3743186369593,-111.99715471132527
91,160 8th Rd,pending,190868,5,3,1753,33.44810528924741,-112.36032829675315
92,197 4th Dv,sold,160381,5,1,2834,33.58009107882244,-112.16800064644288
93,190 5th Blvd,pending,123523,3,3,3014,33.37276846309385,-111.92239585993708
94,533 9th Blvd,sold,145814,2,3,2840,33.38259673764261,-112.35742053236234
95,221 Sutter St,pending,176241,4,1,2491,33.560887991087284,-112.32761896585072
96,431 Euclid Vis,pending,123776,4,2,3794,33.37794479276197,-111.8766961107951
97,697 Post Blvd,pending,134839,3,1,3694,33.58659065161349,-112.00009456924937
98,159 1st Blvd,active,129860,5,2,2077,33.4182571717138,-112.35013884817516
99,537 1st Vis,active,255446,3,2,2955,33.402534381507024,-111.93539537603182
100,498 Wall Rd,sold,236091,4,3,1096,33.48253351222649,-112.28925442166484
101,193 Post Trl,active,115507,2,2,2704,33.36746587772052,-111.88097197407272
102,507 California Dv,sold,117966,5,2,1538,33.37937732157538,-112.20146714387342
103,336 Euclid Rd,pending,182657,4,3,2762,33.42068401012969,-111.89587588779888
104,658 Wall Cir,pending,189606,5,1,3482,33.55955190494215,-111.94171829450418
105,394 7th Blvd,sold,111413,4,2,2556,33.51706233971125,-111.9705569143539
106,262 Bush Blvd,active,245249,4,1,2215,33.520056250689784,-112.1012758541299
107,150 Blake Trl,active,142004,5,1,3435,33.47463545561314,-112.04316854363164
108,766 Page Wl,sold,152609,5,3,1734,33.51527161002423,-112.0279171380196
109,88 1st Ave,active,136199,2,1,2772,33.528620693498034,-111.95896340231195
110,678 Walnut St,pending,113804,2,1,3085,33.50661158016927,-112.28953715461653
111,356 9th Ave,sold,124761,2,2,3422,33.37885708965532,-112.20155178193893
112,640 Geary Blvd,pending,147754,4,2,3842,33.48737108611903,-112.06192401145985
113,329 Walnut Trl,pending,149247,5,2,2455,33.41799751568517,-112.11573398029493
114,747 Indiana Dv,pending,112579,5,2,3858,33.48181840733612,-112.09421788007649
115,308 Mission Rd,sold,133095,4,3,2810,33.41014383608652,-111.91310093477894
116,227 8th Wl,pending,200878,4,2,2520,33.45041044410267,-111.90358795604246
117,279 Wall Wl,active,159411,3,2,3299,33.37614238936993,-112.24573276498447
118,301 Post Cir,pending,107737,4,3,3898,33.48361793200452,-111.88435967506584
119,247 Geary Cir,sold,226018,5,1,2153,33.37404828179067,-112.13799595668145
120,156 Wall Trl,sold,121252,4,2,2846,33.573894842824586,-112.29603055801404
121,381 Euclid Rd,active,130393,3,2,1986,33.463281666507264,-112.10740579030913
122,72 Franklin Cir,sold,130404,3,2,3156,33.475930817136145,-112.06912170353739
123,59 8th Cir,pending,211737,2,1,2568,33.36365615920334,-112.33384650497304
124,627 Post Blvd,active,170895,5,1,2686,33.48800490728401,-112.13609362879991
125,415 Texas Ave,sold,188369,5,3,2616,33.523800510208815,-111.877884014521
126,520 Franklin Blvd,pending,255437,3,2,1990,33.36577176659934,-111.9834003164953
127,568 1st Pl,sold,184126,3,2,2970,33.36992246367232,-111.98494718705342
128,440 1st Vis,active,273860,5,2,1237,33.45376532190899,-112.03604238560366
129,344 California Wl,sold,161779,2,2,3418,33.49078497191431,-112.01870360190377
130,573 2nd Trl,sold,201939,3,3,1643,33.47151565589133,-112.11782139346313
131,116 Geary Ave,active,217635,5,1,3343,33.41810420984088,-111.92604341823574
132,282 1st Vis,active,205733,5,1,2309,33.51458366476448,-112.1271040258922
133,68 4th Vis,pending,154606,4,2,2974,33.482845568086724,-112.04337602072691
134,20 Geary Dv,active,103164,5,1,3882,33.517481355043735,-111.90424458393372
135,535 Mission Ave,sold,287122,4,1,1355,33.537049477650065,-112.34202104485273
136,792 3rd St,sold,111213,4,1,3890,33.53707462754815,-112.35803932451006
137,645 Wall St,sold,239447,4,2,3466,33.55606413062155,-112.2519819947554
138,772 Bush Pl,pending,273207,2,2,2708,33.58840602818021,-112.26683175435419
139,32 Texas Vis,sold,201423,5,2,1987,33.490775545801114,-111.92981696436468
140,490 Post Blvd,pending,158228,3,3,2943,33.57572869935149,-112.31013225311041
141,795 8th St,pending,197944,4,3,1042,33.42778883324278,-112.29579675884186
142,387 Sutter Wl,pending,227560,5,3,2943,33.548252672656965,-111.98457169226143
143,23 4th Rd,sold,193870,2,2,2456,33.510505584170495,-112.33876595349678
144,435 Sutter Vis,active,138683,3,2,1540,33.41560501874194,-111.93861655323056
145,756 3rd St,pending,190809,3,2,2610,33.5580936044525,-112.14195145161287
146,87 9th Way,pending,240698,4,1,1808,33.57961230010825,-112.03182412593071
147,278 5th Vis,pending,261738,3,1,1613,33.433480114252724,-112.1409855587276
148,516 Sutter Blvd,sold,263527,2,1,2772,33.43255622936882,-112.0904431762334
149,287 9th Rd,pending,209731,4,1,3581,33.50145690282034,-112.05213990364976
150,599 Wall Vis,active,225617,4,2,1828,33.434820231599616,-112.28759400029503
151,791 Mission Blvd,sold,100870,3,3,3520,33.574385791274985,-112.19691857693749
152,330 Texas Pl,sold,112173,5,2,2948,33.419644351682784,-111.96056415137198
153,489 Franklin Vis,pending,153772,4,2,3154,33.420291091079456,-111.9692566198797
154,477 2nd Vis,active,202191,5,2,1228,33.51269632365627,-112.24183971682861
155,324 6th Way,pending,133146,3,2,2740,33.46066440408648,-111.87297672167787
156,518 Franklin Vis,pending,120532,4,1,3910,33.49697585878341,-112.30393200989954
157,729 Sutter Dv,sold,297369,3,3,3290,33.46977777268353,-111.89024225914038
158,546 Texas St,sold,131573,3,3,2322,33.47747453499323,-112.27517876113762
159,301 Pine Rd,active,167529,5,1,2051,33.56644181154452,-111.95578545202788
160,473 Page Blvd,active,214632,2,2,2772,33.382343577216155,-112.20908026490662
161,720 Blake Blvd,sold,219028,2,1,2260,33.46102199991377,-112.14759548401922
162,228 Blake Way,active,288598,3,1,2743,33.59059989450352,-112.18414536614861
163,219 6th Rd,active,111873,3,2,1016,33.42445405494569,-112.29714856714858
164,520 Walnut Blvd,active,297787,3,1,3836,33.44267643804656,-111.89083457680447
165,610 Wall Vis,pending,292647,2,2,1139,33.440889617781615,-112.1836039788962
166,367 8th Pl,pending,285610,4,2,2348,33.41164254193085,-111.88474017800223
167,345 Wall Blvd,pending,168475,4,3,3958,33.52862948222652,-112.01859786647938
168,686 Sutter Rd,active,241985,4,3,2491,33.46636798442578,-112.25251004738963
169,316 Pine Trl,sold,226777,2,2,3618,33.55024324017842,-111.92640177586388
170,20 Sutter Way,pending,173900,2,2,3573,33.442076639422666,-112.12051553345583
171,97 4th Trl,sold,177554,4,3,3606,33.386960874023096,-112.06980549765285
172,612 Franklin Ave,pending,164113,4,1,1637,33.36675911505812,-112.22890982137966
173,479 5th St,active,194164,4,1,1947,33.4538432369455,-112.04892662119609
174,140 4th Pl,active,251858,2,2,3258,33.430487801638805,-112.1812349961168
175,310 Euclid Wl,active,108681,5,2,1374,33.53997403605915,-112.11153927157423
176,697 Page Pl,pending,274550,2,3,1331,33.57878191861525,-112.07938029344146
177,111 Walnut Vis,active,111979,2,3,3370,33.54599056001011,-111.89366960562293
178,482 Franklin Rd,sold,253193,3,3,1485,33.466340634735324,-112.26410592039224
179,713 Indiana Cir,active,267604,5,3,1279,33.45055972397044,-111.9390275575888
180,757 Page St,sold,255224,2,3,3654,33.559950874604304,-112.30193728724961
181,362 6th Wl,active,215108,3,3,2293,33.47928068998293,-112.05086490043028
182,656 Wall Rd,active,272180,2,2,2100,33.56346985398405,-112.33549320994844
183,557 Indiana Blvd,active,124217,4,3,3108,33.428878985507026,-112.07577739388002
184,689 9th Ave,sold,252891,2,1,1737,33.415101153363985,-112.15815774667158
185,299 Post Trl,active,128866,2,1,3070,33.48859359453036,-112.3343771437957
186,722 Geary Wl,pending,105376,2,2,3504,33.484630585300316,-112.00350437164943
187,657 California Way,pending,266078,3,1,3867,33.539625921578086,-112.100678769851
188,542 Page Vis,sold,260550,2,3,3296,33.43274987820158,-112.2355887633564
189,518 1st Vis,pending,128241,4,2,3860,33.44543206934028,-112.25761868140413
190,78 Walnut Trl,active,297135,5,1,1531,33.41377657270383,-112.23471077215397
191,419 Wall Ave,active,200806,3,1,1433,33.50894879516873,-112.30172846543897
192,622 Franklin Trl,active,249789,2,2,3805,33.38748382930412,-111.99493200075753
193,706 Indiana Cir,active,108343,4,3,1981,33.459024096061064,-111.88019215803442
194,550 8th Trl,active,177067,4,1,2575,33.43562397428385,-112.04921531291303
195,666 1st Blvd,active,271252,5,1,1585,33.47893352279746,-112.12185793336877
196,283 Bush Dv,pending,292556,3,2,3401,33.50627320316949,-112.26296601433152
197,751 Post Blvd,sold,171197,5,3,3072,33.52978402960125,-112.20491362943737
198,24 Franklin Cir,pending,161177,4,1,3100,33.37658125698534,-112.1139911303581
199,538 Wall Trl,pending,214099,2,1,1599,33.56713478925847,-112.34512273126961
200,332 Sutter Ave,sold,215619,5,2,3464,33.36526649494705,-112.31641963201096
201,798 Bush Wl,active,244235,3,1,2293,33.386317059016484,-112.31806525921156
202,764 Euclid Ave,pending,111423,4,2,2999,33.379911881385794,-111.9078710582076
203,222 Pine Way,pending,149793,5,3,2811,33.488920103185116,-112.16002864582683
204,607 Pine Pl,sold,133128,3,2,1467,33.42493601214617,-111.88030022205047
205,513 Indiana Ave,sold,238709,2,3,2000,33.39215710758758,-112.23947389860398
206,715 Post Blvd,active,279288,5,2,1459,33.56395852809573,-112.27203178374474
207,246 1st Ave,active,160302,4,3,1666,33.38024516888073,-111.94196606370737
208,759 Pine Cir,active,280464,3,1,1961,33.578448301050294,-112.1644924259169
209,50 Bush Way,active,199318,4,2,3618,33.376375068399355,-112.0599660358773
210,634 Pine Pl,active,121187,2,3,3433,33.47936489837513,-112.25150220438279
211,663 Mission Rd,sold,282671,5,2,1876,33.44911902939165,-112.0806645738974
212,616 9th Cir,sold,131863,4,2,3516,33.40004823070813,-112.2031743097054
213,217 Franklin Way,active,242900,5,2,2046,33.44999205650158,-112.28288821552344
214,243 Bush Pl,sold,101303,4,2,1803,33.466935971847356,-112.0866449854091
215,280 Turk Blvd,pending,243946,3,1,1815,33.542507244225675,-112.12041125740902
216,366 7th Rd,active,143236,5,2,1584,33.56698378128916,-112.0212507273447
217,638 6th Wl,active,205646,3,1,2955,33.37714520911194,-112.31400923191741
218,525 Bush Pl,pending,100409,4,2,2651,33.54349059584859,-112.2158173056098
219,423 3rd Way,active,210611,5,3,3446,33.44778962089745,-112.07728642611474
220,386 9th Vis,pending,131931,4,2,1244,33.51065789575155,-112.23217737595472
221,772 Euclid Vis,pending,217261,2,2,2663,33.38183987799212,-112.32210496091452
222,222 6th Blvd,pending,267285,5,1,1626,33.445489465825396,-112.05868969162411
223,449 Page Pl,sold,183723,3,1,1652,33.57915428630414,-112.25488777729257
224,798 4th Rd,active,153551,5,2,2900,33.372133607622374,-112.00182354008881
225,317 6th Way,active,263883,3,2,3216,33.54257627726829,-112.2150887961103
226,586 1st St,active,183648,2,1,2397,33.39184922942582,-112.10724989654312
227,446 Wall Vis,active,174339,3,2,2407,33.508812622618265,-112.26220604813788
228,446 7th Dv,active,145341,2,2,3058,33.386157423033374,-112.15017954309609
229,237 Franklin Blvd,sold,162975,5,2,1273,33.41249252511176,-111.88506761796238
230,452 Wall Way,active,218974,2,3,1931,33.534413176928574,-112.1652629614843
231,203 6th Cir,pending,185442,2,1,3793,33.49823558047752,-112.06198189953824
232,13 6th Cir,pending,265834,4,2,1459,33.50227646990704,-112.14457770435126
233,753 7th Ave,sold,106052,5,1,3340,33.48494912707849,-112.1934111492806
234,719 Mission Ave,sold,239290,5,1,3698,33.47187089025979,-112.09590472991911
235,678 Page Cir,active,173783,3,3,1530,33.45757586390791,-112.22777728548665
236,533 8th Trl,pending,271405,2,3,1395,33.58940118188282,-112.05005769660292
237,204 Bush Ave,active,285586,4,2,1005,33.48678575741483,-112.20211403567089
238,569 Texas Wl,active,113396,3,2,3434,33.46676720270373,-112.15348404063388
239,207 Sutter Trl,sold,237667,2,1,2397,33.42899501075644,-111.90014025723497
240,219 Sutter Blvd,pending,233364,5,1,3417,33.56950084476811,-111.94872544884059
241,602 Texas Way,sold,204942,5,2,1205,33.36503966172252,-112.05631467176428
242,332 6th Pl,sold,108827,4,1,2030,33.40301729829751,-111.95468885733888
243,91 2nd Pl,sold,273984,4,2,2497,33.52410572176415,-112.01898164332518
244,50 6th Cir,pending,157030,3,3,1363,33.50064199740066,-112.29559588400602
245,507 1st Blvd,active,210091,4,3,2140,33.519861153591116,-112.3102662607755
246,735 2nd Ave,pending,156832,5,3,1507,33.46205268291857,-112.0089779849797
247,534 Geary Blvd,pending,209458,4,1,2427,33.409268279997946,-112.34229615578431
248,97 Geary Rd,sold,284116,5,3,3412,33.58478573933386,-112.14031399874746
249,399 5th Pl,pending,286411,4,2,1198,33.482562235397886,-111.90905539657116
250,657 5th Vis,pending,197464,2,1,3069,33.43680670228957,-112.13269672340661
251,630 Wall Vis,active,295283,4,3,2426,33.50142954562574,-112.03995346942358
252,22 Page Ave,active,204487,4,1,1883,33.45706699945053,-112.27963303156535
253,567 Indiana Cir,active,103498,5,3,3338,33.537569625645375,-112.2887010397088
254,104 2nd Ave,pending,144675,3,1,1374,33.40519305742372,-112.35084350499167
255,336 Texas Trl,active,173196,4,1,1794,33.561658604602734,-112.34139083119805
256,494 Turk Dv,pending,285035,5,1,3295,33.426654790846534,-112.12845512237955
257,389 Walnut Ave,active,140008,5,2,1977,33.42448128404043,-111.9579687937674
258,183 Sutter Pl,pending,104631,3,1,2155,33.43744756525803,-112.31714528424938
259,573 5th Blvd,active,152367,5,3,2895,33.41691356943073,-111.9163157046982
260,497 Turk Ave,pending,269121,2,2,2898,33.367784494830694,-112.29658930612244
261,663 Euclid Rd,active,209111,2,2,1522,33.481230447011036,-112.04994946365633
262,699 2nd Dv,active,293866,2,2,3371,33.574218738605836,-112.21958305762197
263,266 Post Ave,pending,159048,4,3,3350,33.57947484893035,-112.02115883371386
264,650 2nd Pl,sold,144257,2,1,3661,33.546401288609765,-112.07847437617352
265,110 Euclid St,active,183073,4,2,3568,33.45034413211934,-112.05219356935642
266,145 Texas St,sold,246428,4,3,1700,33.371713293772636,-112.02642993474306
267,252 Mission St,active,236465,2,3,2547,33.46214763124526,-112.22072058804856
268,666 Post Trl,sold,127439,5,2,1894,33.414883785919685,-112.33072871123451
269,731 Page Blvd,pending,278154,3,1,3807,33.46172236128779,-112.29942082172288
270,281 Geary Vis,active,249791,3,3,2140,33.37480506905482,-112.09897964218483
271,391 Wall Wl,pending,233199,4,3,2815,33.403011461630015,-111.88263609614916
272,623 Blake St,active,160855,3,3,2306,33.502755949958214,-112.24560935141682
273,652 Texas Way,pending,136981,3,3,1715,33.59133573242206,-112.05203854431872
274,746 Texas St,pending,209883,3,3,3062,33.5832387780422,-112.12652750211146
275,21 Bush Way,pending,209467,4,1,1398,33.50256635242875,-112.05567912895262
276,561 Blake Way,active,111414,2,3,2717,33.542950580315406,-112.0963025444298
277,667 9th Ave,sold,147888,2,2,2390,33.42898248366304,-111.92948300450351
278,460 Page Vis,sold,119294,5,3,3047,33.44746617388175,-112.05321027745639
279,359 California Dv,sold,272462,4,2,3400,33.51698415676291,-112.15973514706627
280,15 4th Wl,active,264710,4,2,2837,33.425657014274094,-112.09932715598315
281,482 9th Vis,active,233439,5,3,3712,33.4922844138567,-112.0150669079899
282,150 Wall Trl,sold,232274,5,3,2010,33.370860490290944,-112.11570616545605
283,570 Walnut Ave,sold,180322,4,1,3888,33.51038017915801,-112.01101582395638
284,371 8th Wl,active,143505,4,1,1831,33.51659668498107,-111.89455074190528
285,238 3rd Way,sold,184775,3,3,2158,33.43702861887338,-112.06488167767797
286,34 Page Wl,pending,122141,5,1,2314,33.558827302163174,-112.14609802468142
287,358 2nd Rd,sold,112542,2,3,1500,33.440181773080425,-112.14984582295659
288,514 Texas Wl,active,231606,3,3,1935,33.556382171507,-112.11517458964093
289,50 4th Pl,active,188966,5,1,3037,33.567471437248855,-111.95188918478027
290,427 5th St,active,159290,2,1,1268,33.440358425509146,-111.95795175593724
291,205 Euclid Rd,active,292356,4,2,3197,33.52868190332966,-112.29588575136414
292,254 5th Pl,pending,201822,4,2,3447,33.43740475074295,-112.25474590961451
293,149 Sutter St,active,231912,3,3,2072,33.418123158608275,-112.34735990353741
294,87 Bush Vis,active,205265,4,2,1681,33.447689410574554,-112.23797443066013
295,167 Post Pl,active,101951,4,2,2005,33.460550384070416,-112.34245227299769
296,44 4th Trl,sold,240590,5,1,1247,33.3893738163108,-112.21791773297376
297,293 Texas Dv,pending,258321,5,1,2127,33.56625103330458,-112.28680151068882
298,727 4th Way,active,288421,2,1,1146,33.54099430394098,-112.05600817648555
299,525 California Trl,sold,164375,4,3,3092,33.41556973241617,-111.98805542872498
300,633 Page Pl,sold,208981,5,3,3347,33.56830409389977,-112.16468482980135
301,419 Blake Wl,active,208397,2,1,1412,33.57455058000248,-112.02928194926294
302,593 Wall Blvd,sold,160509,5,2,3891,33.46415518123616,-112.09066343537329
303,36 Indiana Cir,pending,147463,5,2,3163,33.58682967242524,-112.15956534513879
304,773 California Vis,pending,210516,5,2,2693,33.44385431261027,-112.02355818696766
305,316 Bush St,active,216763,3,1,1705,33.384221277571825,-112.00627507073905
306,391 Blake St,pending,241210,2,3,2296,33.44657441126927,-112.04899871298915
307,261 Sutter Dv,active,293446,4,3,2176,33.43574585767454,-112.04374168953814
308,36 Walnut St,sold,192871,3,2,1353,33.37889222162043,-112.02505548204836
309,407 3rd St,pending,255740,2,1,2626,33.427854703990256,-111.96635593929516
310,734 Turk Cir,sold,147316,5,1,3025,33.57338897103269,-112.07596758093369
311,302 3rd Wl,pending,193756,3,2,3186,33.50836149457759,-111.9344677545274
312,79 Pine Wl,sold,151451,4,2,2180,33.50746622367356,-112.2119673593467
313,229 Blake Pl,pending,253031,2,3,3991,33.496646039517735,-112.28829704427234
314,436 Bush St,sold,165128,2,3,3394,33.426096751899486,-112.3064152579952
315,135 2nd Rd,sold,121542,4,1,2931,33.44055057537883,-111.94648921836036
316,630 Franklin Way,active,168984,3,1,1465,33.46686416377319,-111.90955254043465
317,78 Post Trl,sold,272628,2,2,1800,33.575927829443906,-111.99437905501605
318,657 5th St,pending,244598,3,1,3552,33.37210440758022,-111.90373347705423
319,386 Wall Way,active,245399,3,1,3618,33.39254011088715,-111.89179820191897
320,160 9th Trl,sold,284771,5,3,1352,33.53830511755634,-111.88169501723529
321,211 Blake St,sold,274430,2,3,2174,33.58656008596533,-112.23535686429575
322,593 Blake Pl,sold,144033,5,1,3272,33.47550995234324,-112.1393403165656
323,782 California Way,active,272088,5,1,1201,33.452242321420215,-112.34748739111191
324,228 Pine Dv,sold,273222,5,3,1877,33.549660955511946,-112.24442328998715
325,59 California Trl,pending,151029,5,3,2847,33.54724672918558,-112.07051359820461
326,129 Page Pl,sold,244207,3,1,3869,33.542974699210454,-112.26037536445675
327,726 Geary Cir,active,107871,5,3,2395,33.53176024789379,-112.12436477477628
328,191 1st Vis,pending,145570,4,3,2500,33.40918332150916,-112.10678788043819
329,387 Franklin Cir,pending,166045,4,2,1869,33.52049030262132,-112.1575029756259
330,87 Walnut Ave,sold,299308,5,2,1564,33.5829004257756,-112.36114900062319
331,761 9th Rd,pending,144337,3,1,3826,33.452614632282966,-112.2505045734234
332,35 Texas Pl,active,280899,2,2,3724,33.439992027790396,-112.11740160703839
333,639 7th Cir,pending,210000,2,3,3275,33.565945655230614,-112.36077224376216
334,725 1st Vis,sold,203508,3,1,2881,33.46728436765864,-112.1432708624775
335,784 Post Wl,pending,135108,5,1,3372,33.52542532956684,-111.89320401529005
336,704 1st Trl,pending,213663,3,2,3116,33.574411503940404,-112.0868256129393
337,80 1st Way,active,283112,2,3,2141,33.551052809272036,-111.92009746114307
338,527 Post Pl,pending,282536,2,2,1844,33.37178094299874,-112.18201072386856
339,382 Page Trl,sold,270923,4,3,1813,33.572863616717044,-112.2961656515343
340,177 5th Pl,pending,276520,5,2,2465,33.44964419992161,-112.08275229960019
341,573 3rd Pl,sold,119662,3,3,3558,33.41894996350641,-112.21401495641994
342,723 9th Blvd,pending,229386,5,2,3709,33.42090026094013,-112.33420402730275
343,305 Post Vis,sold,282913,2,2,3482,33.42737071631248,-112.34817108924332
344,753 Geary Cir,active,245355,4,3,3067,33.375664567869904,-112.35312337657736
345,403 Euclid Ave,pending,284286,3,2,2240,33.53031101426947,-112.1209550891571
